epoch_global,phase,epoch_in_phase,term_mean,term_median,term_p95,term_max,lr,eta_eff_mean,train_bd,train_res,test_full,cos_m_g,reset_opt
1,full_loss_1,1,0.2389850914478302,0.23600472509860992,0.39776816964149475,1.0222381353378296,0.01,0.002389850914478302,4.20185178120931,36.996534983317055,3.3948272705078124,0.3127130942769373,True
2,full_loss_1,2,0.09848491102457047,0.09367092698812485,0.174224853515625,1.0516951084136963,0.01,0.0009848491102457046,1.137299230363634,24.68011622958713,2.902495765686035,0.3262969721493554,True
3,full_loss_1,3,0.04747748747467995,0.04091634228825569,0.0978628471493721,1.0985418558120728,0.01,0.0004747748747467995,0.897997236251831,12.38890520731608,2.0453920364379883,0.560977406941669,True
4,full_loss_1,4,0.031943123787641525,0.020091669633984566,0.09416549652814865,0.9040302038192749,0.01,0.00031943123787641525,0.5755662971072727,8.197031444973415,1.6980648040771484,0.7498758275283542,True
5,full_loss_1,5,0.019548270851373672,0.010943186469376087,0.0626148208975792,0.7604097127914429,0.01,0.00019548270851373672,0.6385913425021701,5.238333569632636,1.0692033767700195,-0.01535931410573335,True
6,full_loss_1,6,0.01935754530131817,0.00999256782233715,0.0675790086388588,0.6696118116378784,0.01,0.00019357545301318168,0.41724506749047174,3.5796078311072455,1.0916227340698241,0.8238643960661931,True
7,full_loss_1,7,0.019951405003666878,0.010437479242682457,0.06982891261577606,0.7145947217941284,0.01,0.0001995140500366688,0.5221917178895739,2.6181885401407876,0.9128795623779297,0.7214229684855085,True
8,full_loss_1,8,0.01519328635185957,0.008172974921762943,0.052939705550670624,0.47872570157051086,0.01,0.0001519328635185957,0.5505340947045221,2.731056875652737,0.9196514129638672,0.850490055651488,True
9,full_loss_1,9,0.013456573709845543,0.007547347340732813,0.04532541334629059,0.5607337951660156,0.01,0.00013456573709845544,0.461466211742825,2.250479088889228,0.8406551361083985,0.16025657887205677,True
10,full_loss_1,10,0.014177525416016579,0.007593533024191856,0.047954924404621124,0.6235644817352295,0.005,7.088762708008289e-05,0.42914058367411295,2.1087542242474027,0.8433940887451172,0.6872081885649063,True
11,full_loss_1,11,0.01322958804666996,0.007291268557310104,0.04481853172183037,0.607474148273468,0.005,6.61479402333498e-05,0.332349525557624,1.5043186081780329,0.8465154647827149,0.01082017082270116,True
12,full_loss_1,12,0.014163910411298275,0.007860364392399788,0.04853108525276184,0.5266599655151367,0.005,7.081955205649138e-05,0.3207589692539639,1.6920238468382094,0.7994267463684082,0.38073191274325396,True
13,full_loss_1,13,0.012166645377874374,0.006853114813566208,0.040491603314876556,0.46702900528907776,0.005,6.083322688937187e-05,0.24892210960388184,1.2353770070605807,0.7857262134552002,-0.4045401595828793,True
14,full_loss_1,14,0.017108475789427757,0.009427809156477451,0.05850762128829956,0.5429549813270569,0.005,8.55423789471388e-05,0.20281161467234293,1.057924959394667,0.7450974464416504,0.9059127869198691,True
15,full_loss_1,15,0.016605639830231667,0.009056146256625652,0.05793549492955208,0.4838365912437439,0.005,8.302819915115834e-05,0.23931850724750095,0.8532732427120209,0.6982887744903564,0.6577670285021633,True
16,full_loss_1,16,0.017774896696209908,0.009807952679693699,0.06091560423374176,0.5811474919319153,0.005,8.887448348104954e-05,0.32513680193159317,0.8802266319592794,0.6810807228088379,0.36553082521502717,True
17,full_loss_1,17,0.017246130853891373,0.009440697729587555,0.05942267179489136,0.5965762138366699,0.005,8.623065426945687e-05,0.2446098248163859,0.95315064324273,0.6726616859436035,0.8701884917371082,True
18,full_loss_1,18,0.014247559942305088,0.008237587288022041,0.047394197434186935,0.428891658782959,0.005,7.123779971152544e-05,0.22590915891859267,0.9140594270494249,0.6798980712890625,0.9330832817289814,True
19,full_loss_1,19,0.025017764419317245,0.013049203902482986,0.08920902758836746,0.7094519734382629,0.005,0.00012508882209658623,0.42300237019856773,0.7921630011664497,0.6206974029541016,0.9142926596289296,True
20,full_loss_1,20,0.017611846327781677,0.009874491952359676,0.060112640261650085,0.495900422334671,0.0025,4.4029615819454195e-05,0.25130570464664037,0.8536445101102194,0.6036186695098877,0.46442650658339935,True
21,full_loss_1,21,0.017306748777627945,0.00954960286617279,0.058620650321245193,0.6342366933822632,0.0025,4.3266871944069866e-05,0.2782595290078057,0.6767760184076097,0.5959683418273926,0.20757805224707485,True
22,full_loss_1,22,0.025138961151242256,0.013587254099547863,0.08727394789457321,0.7316638827323914,0.0025,6.284740287810564e-05,0.2080901861190796,0.6327987843089633,0.5755062580108643,0.88427258994669,True
23,full_loss_1,23,0.019766652956604958,0.011257906444370747,0.06684599071741104,0.512057900428772,0.0025,4.9416632391512396e-05,0.15813639958699544,0.5009545154041715,0.5644160270690918,0.9147149051820984,True
24,full_loss_1,24,0.020152263343334198,0.011476888321340084,0.06840935349464417,0.6264289617538452,0.0025,5.0380658358335495e-05,0.17323461241192287,0.4870986408657498,0.6022474288940429,0.5105186626815593,True
25,full_loss_1,25,0.021659748628735542,0.012420830316841602,0.07262852787971497,0.7870451211929321,0.0025,5.4149371571838855e-05,0.1683958801958296,0.5371035403675504,0.5648069381713867,0.40441370336887456,True
26,full_loss_1,26,0.021061545237898827,0.01212848536670208,0.07153791189193726,0.6576901078224182,0.0025,5.2653863094747065e-05,0.11659516957071092,0.40645023187001544,0.5909951210021973,0.7987162254928452,True
27,full_loss_1,27,0.023303765803575516,0.01305589359253645,0.0794210135936737,0.5971969366073608,0.0025,5.825941450893879e-05,0.12267030742433337,0.45687900318039787,0.5639471054077149,-0.20521163126590253,True
28,full_loss_1,28,0.021700721234083176,0.012028656899929047,0.07417921721935272,0.6191766858100891,0.0025,5.425180308520794e-05,0.15985867844687568,0.491139229800966,0.5305395126342773,0.6186201703704902,True
29,full_loss_1,29,0.018752746284008026,0.010984347201883793,0.0626644417643547,0.5451822280883789,0.0025,4.688186571002007e-05,0.15951541662216187,0.424462315109041,0.5850495338439942,-0.4293432314588651,True
30,full_loss_1,30,0.026934027671813965,0.015164796262979507,0.09187690168619156,0.6692153215408325,0.00125,3.3667534589767454e-05,0.18793675435913934,0.4801626106103261,0.48859100341796874,0.44885513466096305,True
31,full_loss_1,31,0.020958958193659782,0.01157571841031313,0.07231316715478897,0.759444534778595,0.00125,2.619869774207473e-05,0.1534069326188829,0.3931716779867808,0.5516424179077148,0.5012569210771874,True
32,full_loss_1,32,0.020187653601169586,0.011529519222676754,0.06846999377012253,0.6718328595161438,0.00125,2.5234567001461983e-05,0.12527374492751228,0.361559487051434,0.4997689723968506,0.1902540947258964,True
33,full_loss_1,33,0.024600494652986526,0.013899561949074268,0.08432936668395996,0.670778214931488,0.00125,3.075061831623316e-05,0.09801229039827983,0.36295344432195026,0.49480881690979006,0.9604863006517773,True
34,full_loss_1,34,0.02384546399116516,0.013694214634597301,0.08104278147220612,0.5772161483764648,0.00125,2.980682998895645e-05,0.09604149924384223,0.3531855841477712,0.4706906795501709,-0.6867179618502791,True
35,full_loss_1,35,0.026369906961917877,0.015176156535744667,0.08912883698940277,0.7893251180648804,0.00125,3.296238370239735e-05,0.08643783860736423,0.3273220674859153,0.48452157974243165,0.6937714527075874,True
36,full_loss_1,36,0.025001678615808487,0.014163697138428688,0.08506409078836441,0.6802167296409607,0.00125,3.1252098269760607e-05,0.07548535896672143,0.30858992205725777,0.4947329521179199,0.7233286759926592,True
37,full_loss_1,37,0.022477366030216217,0.0131406020373106,0.07516858726739883,0.6129599809646606,0.00125,2.8096707537770272e-05,0.07663694222768148,0.34125975105497575,0.4609821319580078,-0.509930754221314,True
38,full_loss_1,38,0.022430982440710068,0.012920636683702469,0.07608968019485474,0.6210829615592957,0.00125,2.8038728050887584e-05,0.07810039454036288,0.30610722965664333,0.4732339859008789,0.667612174015307,True
39,full_loss_1,39,0.029280975461006165,0.01669055037200451,0.10016144067049026,0.6320998668670654,0.00125,3.660121932625771e-05,0.09479037357701195,0.29491038123766583,0.42885637283325195,0.10414708581454311,True
40,full_loss_1,40,0.02581600286066532,0.014761406928300858,0.08810911327600479,0.5470336675643921,0.000625,1.6135001787915828e-05,0.09914350907007853,0.3168720073170132,0.4652706146240234,0.5245436897038986,True
41,full_loss_1,41,0.03251892700791359,0.01815170794725418,0.11290623247623444,0.8240622282028198,0.000625,2.0324329379945994e-05,0.08943809469540914,0.3475328071249856,0.45583505630493165,0.9532420699285095,True
42,full_loss_1,42,0.02856042981147766,0.015793925151228905,0.09946652501821518,0.6441596150398254,0.000625,1.785026863217354e-05,0.07164191040727827,0.28458019263214535,0.42867412567138674,0.8928351518014642,True
43,full_loss_1,43,0.02651546522974968,0.015102592296898365,0.0908283069729805,0.6582031846046448,0.000625,1.657216576859355e-05,0.07591237756941054,0.2911064310206307,0.4478741645812988,0.895696813333944,True
44,full_loss_1,44,0.02993561141192913,0.01726127415895462,0.10148429870605469,0.8188297748565674,0.000625,1.8709757132455706e-05,0.07778239415751563,0.2849840306573444,0.45668678283691405,0.39259248866648133,True
45,full_loss_1,45,0.024621454998850822,0.014136680401861668,0.08354270458221436,0.9175337553024292,0.000625,1.5388409374281763e-05,0.06234977576467726,0.3111034366819594,0.4722166061401367,-0.08204855554335863,True
46,full_loss_1,46,0.03484594449400902,0.01958242617547512,0.12129213660955429,0.7391741871833801,0.000625,2.1778715308755635e-05,0.0672901279396481,0.23583368294768864,0.4426255226135254,0.8930798123830389,True
47,full_loss_1,47,0.03247622400522232,0.01825207844376564,0.11191616207361221,0.7858717441558838,0.000625,2.029764000326395e-05,0.06455595129066044,0.2650038136376275,0.4524111747741699,0.09452505896183293,True
48,full_loss_1,48,0.0291269663721323,0.016551699489355087,0.0999050959944725,0.9511094093322754,0.000625,1.8204353982582687e-05,0.08569130301475525,0.2452959567308426,0.4330581188201904,0.8390738551946827,True
49,full_loss_1,49,0.028179306536912918,0.016470035538077354,0.0949883982539177,0.5692445635795593,0.000625,1.7612066585570574e-05,0.06736285520924462,0.25920985970232224,0.43762950897216796,0.7956693600356357,True
50,full_loss_1,50,0.027945270761847496,0.01614166982471943,0.09417011588811874,0.6531002521514893,0.0003125,8.732897113077342e-06,0.05677482187747955,0.25465944243801963,0.4387314796447754,0.6804999986117999,True
51,full_loss_1,51,0.03042510338127613,0.017452115193009377,0.10402834415435791,0.6077227592468262,0.0003125,9.50784480664879e-06,0.06198196046882205,0.24317135413487753,0.4517223834991455,0.839583992892088,True
52,full_loss_1,52,0.028725560754537582,0.017046237364411354,0.09627348184585571,0.8301384449005127,0.0003125,8.976737735792994e-06,0.05104338526725769,0.24333516425556606,0.4366594314575195,0.7323910588830393,True
53,full_loss_1,53,0.026928137987852097,0.015711652114987373,0.09125553071498871,0.6582884192466736,0.0003125,8.41504312120378e-06,0.0571880708138148,0.2569776491986381,0.44305171966552737,0.6517234879008847,True
54,full_loss_1,54,0.03141076862812042,0.01794709451496601,0.10769819468259811,0.6766172051429749,0.0003125,9.815865196287632e-06,0.05351133147875468,0.2425846921073066,0.44296917915344236,0.737274069783625,True
55,full_loss_1,55,0.027452517300844193,0.015704885125160217,0.09380652755498886,0.6500456929206848,0.0003125,8.578911656513811e-06,0.047708158691724144,0.2031081285741594,0.43724212646484373,0.9483858031716236,True
56,full_loss_1,56,0.027279715985059738,0.016019171103835106,0.09169650077819824,0.5565871000289917,0.0003125,8.524911245331169e-06,0.05257219721873601,0.2508685191472371,0.4375016689300537,0.4170277747918011,True
57,full_loss_1,57,0.025636622682213783,0.015362114645540714,0.08487545698881149,0.5978963971138,0.0003125,8.011444588191808e-06,0.05842774543497298,0.24609960946771833,0.44197931289672854,0.4505154339939737,True
58,full_loss_1,58,0.032596103847026825,0.01868261583149433,0.1113484650850296,0.8325499296188354,0.0003125,1.0186282452195883e-05,0.041472152537769744,0.21374979118506113,0.4357948303222656,0.730238438507508,True
59,full_loss_1,59,0.027166705578565598,0.016056545078754425,0.09080078452825546,0.5739973187446594,0.0003125,8.48959549330175e-06,0.04496389428774516,0.231032595038414,0.4454716682434082,0.24345505073599777,True
60,full_loss_1,60,0.032389506697654724,0.019197260960936546,0.1083948165178299,0.6687510013580322,0.00015625,5.0608604215085505e-06,0.05504187875323825,0.2620346314377255,0.4402285575866699,0.4558485260616567,True
61,full_loss_1,61,0.030880199745297432,0.01811947301030159,0.10349703580141068,0.6844106316566467,0.00015625,4.825031210202724e-06,0.04698113699754079,0.2238231963581509,0.4397937774658203,0.006675462680261305,True
62,full_loss_1,62,0.037807341665029526,0.02193554863333702,0.12899617850780487,0.66648268699646,0.00015625,5.907397135160863e-06,0.05159253411822849,0.2320636229382621,0.4395595550537109,0.835609123158485,True
63,full_loss_1,63,0.032301027327775955,0.019180525094270706,0.10760848969221115,0.5643326640129089,0.00015625,5.047035519964993e-06,0.049305197265413075,0.20671274761358896,0.43799800872802735,0.468684251864745,True
64,full_loss_1,64,0.03129437938332558,0.01861352100968361,0.10443181544542313,0.7084632515907288,0.00015625,4.889746778644622e-06,0.046036037471559314,0.25026224222448135,0.4384152412414551,0.8028939913570377,True
65,full_loss_1,65,0.028323659673333168,0.016975590959191322,0.09404221922159195,0.6906805038452148,0.00015625,4.425571823958307e-06,0.04227318349811766,0.21509596208731332,0.4375256061553955,-0.355478310571575,True
