stage_from,stage_to,layer,beta1,beta2,lr,eps,delta_median,sigma_median,gnew_median,ratio_num,ratio_den,R_lb,timestamp
full_loss_1,full_loss_2,conv1.fc0.weight,0.9,0.999,0.01,1e-08,0.0037874956615269184,0.18195396661758423,0.018869737163186073,1.8064618842936915,0.0032811159582522734,108.59736058322736,1775857941.3901927
full_loss_1,full_loss_2,conv1.fc0.bias,0.9,0.999,0.01,1e-08,8.463657508173128e-08,7.372158052021405e-06,1.2930831871926785e-07,5.890752370208563,0.0005549438265580768,261.41307107760207,1775857941.3903306
full_loss_1,full_loss_2,conv1.conv0.weights1,0.9,0.999,0.01,1e-08,2.29568213399034e-05,0.001710792537778616,4.8721980419941247e-05,4.240619655393723,0.0009010415978997952,211.77367442916315,1775857941.3981953
full_loss_1,full_loss_2,conv1.conv1.weights1,0.9,0.999,0.01,1e-08,5.216578210820444e-05,0.0022102538496255875,0.00013588363071903586,3.455103701854248,0.0019451013820931003,115.39837955490503,1775857941.4060464
full_loss_1,full_loss_2,conv1.conv2.weights1,0.9,0.999,0.01,1e-08,6.684520485578105e-05,0.0025078915059566498,0.0001889215491246432,3.18442678087869,0.0023833619918591275,100.27065274359367,1775857941.4139373
full_loss_1,full_loss_2,conv1.conv3.weights1,0.9,0.999,0.01,1e-08,7.7895398135297e-05,0.0025530627463012934,0.00023052419419400394,3.0411496833452913,0.0028567502876682346,86.62088853261754,1775857941.4211957
full_loss_1,full_loss_2,conv1.w0.weight,0.9,0.999,0.01,1e-08,0.001546897809021175,0.0506390817463398,0.003970911726355553,3.506016058045705,0.002480970879568875,89.45108039860517,1775857941.4216228
full_loss_1,full_loss_2,conv1.w0.bias,0.9,0.999,0.01,1e-08,2.461612857995732e-10,3.5148639199178433e-07,4.984030965715647e-10,4.436199109307453,4.4862992243522926e-05,3666.374434920153,1775857941.4218154
full_loss_1,full_loss_2,conv1.w1.weight,0.9,0.999,0.01,1e-08,0.0025046197697520256,0.09165437519550323,0.007658570073544979,2.943314183765238,0.0026436974069709057,95.92390923123479,1775857941.4221628
full_loss_1,full_loss_2,conv1.w1.bias,0.9,0.999,0.01,1e-08,2.4845547841323423e-10,3.317597929708427e-07,6.984919309616089e-10,3.196747820443171,6.66121711071789e-05,3225.6237320119694,1775857941.4223197
full_loss_1,full_loss_2,conv1.w2.weight,0.9,0.999,0.01,1e-08,0.0022944228257983923,0.08493469655513763,0.007696873974055052,2.6828821024106526,0.002867124104750705,94.70342522682832,1775857941.4226494
full_loss_1,full_loss_2,conv1.w2.bias,0.9,0.999,0.01,1e-08,4.3172060371077237e-10,3.9976094967641984e-07,9.89530235528946e-10,3.9226318329617587,7.831498519317877e-05,2433.950364195629,1775857941.4229298
full_loss_1,full_loss_2,conv1.w3.weight,0.9,0.999,0.01,1e-08,0.0033444284927099943,0.09607027471065521,0.011950736865401268,2.5186611311821094,0.003935708343007242,72.21038253600268,1775857941.4233177
full_loss_1,full_loss_2,conv1.w3.bias,0.9,0.999,0.01,1e-08,4.733268776924149e-10,3.223611315661401e-07,1.3969838619232178e-09,3.0472039164824825,0.0001371085778634203,1705.774973023381,1775857941.4237137
full_loss_1,full_loss_2,conv1.bn0.weight,0.9,0.999,0.01,1e-08,0.011454260908067226,0.10275287926197052,0.03071911260485649,3.3558374389028294,0.009458710244248587,24.271488656110378,1775857941.4239867
full_loss_1,full_loss_2,conv1.bn0.bias,0.9,0.999,0.01,1e-08,0.009218159131705761,0.08288583159446716,0.023528587073087692,3.526069454324373,0.00898116767739646,24.600615882327606,1775857941.4242516
full_loss_1,full_loss_2,conv1.bn1.weight,0.9,0.999,0.01,1e-08,0.0071344561874866486,0.09999492764472961,0.02945079654455185,2.180250221350225,0.009318292330646115,33.74445172033426,1775857941.4245524
full_loss_1,full_loss_2,conv1.bn1.bias,0.9,0.999,0.01,1e-08,0.00675944983959198,0.0730104073882103,0.0226474367082119,2.6861781020711732,0.009814123950989271,27.642170710862764,1775857941.4247725
full_loss_1,full_loss_2,conv1.bn2.weight,0.9,0.999,0.01,1e-08,0.008158925920724869,0.09454663097858429,0.04187852889299393,1.7534124341472501,0.014014016201070994,25.915889184819346,1775857941.4250004
full_loss_1,full_loss_2,conv1.bn2.bias,0.9,0.999,0.01,1e-08,0.008194531314074993,0.07341576367616653,0.03219388797879219,2.2908317837524828,0.01387398957159506,21.902462819645784,1775857941.4252646
full_loss_1,full_loss_2,conv1.bn3.weight,0.9,0.999,0.01,1e-08,0.010842493735253811,0.2247006595134735,0.0755336582660675,1.2919067586036677,0.010635390189268953,41.025097895440496,1775857941.4254375
full_loss_1,full_loss_2,conv1.bn3.bias,0.9,0.999,0.01,1e-08,0.022169869393110275,0.20161662995815277,0.05922694504261017,3.3688859756496785,0.009294161971754101,24.627427688701204,1775857941.4255526
full_loss_1,full_loss_2,conv1.fc1.weight,0.9,0.999,0.01,1e-08,0.002862308407202363,0.12695156037807465,0.02173261158168316,1.1853511285016392,0.005416155576647797,84.48656237214686,1775857941.4260128
full_loss_1,full_loss_2,conv1.fc1.bias,0.9,0.999,0.01,1e-08,0.004928322974592447,0.1177348792552948,0.03659619018435478,1.2120088606677473,0.00983440272669588,45.969009597281755,1775857941.4262218
full_loss_1,full_loss_2,conv1.fc2.weight,0.9,0.999,0.01,1e-08,0.016209056600928307,0.5116072297096252,0.27512848377227783,0.5302304850724573,0.017014380372708,38.40847043729616,1775857941.426397
full_loss_1,full_loss_2,conv1.fc2.bias,0.9,0.999,0.01,1e-08,0.03698749467730522,0.6999258995056152,0.6839995384216309,0.48667788996381167,0.030918683984573894,21.75515174149319,1775857941.4265065
full_loss_2,full_loss_3,conv1.fc0.weight,0.9,0.999,0.01,1e-08,0.0017756747547537088,0.02105901762843132,0.010847259312868118,1.4732820826318527,0.01629668121274019,24.810023368515367,1775857952.9667616
full_loss_2,full_loss_3,conv1.fc0.bias,0.9,0.999,0.01,1e-08,7.174340677096325e-09,1.4221903654743073e-07,4.05198079533875e-08,1.593479235856871,0.009014130647825901,42.646053189601396,1775857952.966886
full_loss_2,full_loss_3,conv1.conv0.weights1,0.9,0.999,0.01,1e-08,1.91232197721547e-06,1.7245265553356148e-05,6.426631898648338e-06,2.6780583341797946,0.011790460556209881,23.05922638010255,1775857952.9746518
full_loss_2,full_loss_3,conv1.conv1.weights1,0.9,0.999,0.01,1e-08,2.60720321421104e-06,3.6033219657838345e-05,7.976072083692998e-06,2.9419024476935873,0.007003308294146499,36.22317065767827,1775857952.9821076
full_loss_2,full_loss_3,conv1.conv2.weights1,0.9,0.999,0.01,1e-08,3.5695472888619406e-06,5.0320635637035593e-05,1.1156546861457173e-05,2.879557906146199,0.007014567889857118,36.7463009954053,1775857952.9894347
full_loss_2,full_loss_3,conv1.conv3.weights1,0.9,0.999,0.01,1e-08,6.273626240727026e-06,7.135127816582099e-05,2.1751528038294055e-05,2.5958007856431387,0.009645067333878647,28.833498250736273,1775857952.9966745
full_loss_2,full_loss_3,conv1.w0.weight,0.9,0.999,0.01,1e-08,0.00023471491294912994,0.0029645669274032116,0.0012428255286067724,1.6997029480159938,0.013263744939161893,27.926584022935465,1775857952.9970534
full_loss_2,full_loss_3,conv1.w0.bias,0.9,0.999,0.01,1e-08,3.7525881707578534e-11,2.8887130909538428e-08,8.640199666842818e-11,3.8641329516697938,9.46284205136318e-05,1233.225863389914,1775857952.997213
full_loss_2,full_loss_3,conv1.w1.weight,0.9,0.999,0.01,1e-08,0.00034473263076506555,0.0045090108178555965,0.0011526827001944184,2.6916285580330648,0.008088085875213417,33.49162475345379,1775857952.9975908
full_loss_2,full_loss_3,conv1.w1.bias,0.9,0.999,0.01,1e-08,5.335530975369984e-11,2.9110660548781198e-08,1.1641532182693481e-10,4.089737014825798,0.0001265203604067646,1007.9517084993682,1775857952.9977129
full_loss_2,full_loss_3,conv1.w2.weight,0.9,0.999,0.01,1e-08,0.00045449924073182046,0.005414594430476427,0.0017342963255941868,2.3585895350532744,0.010133853638680532,29.381124817212644,1775857952.9980204
full_loss_2,full_loss_3,conv1.w2.bias,0.9,0.999,0.01,1e-08,7.374819505079344e-11,2.9288090175327852e-08,1.4551915228366852e-10,4.5300136201451595,0.00015719239495931008,822.4997133163401,1775857952.9981377
full_loss_2,full_loss_3,conv1.w3.weight,0.9,0.999,0.01,1e-08,0.0006739039090462029,0.01178764645010233,0.005172668490558863,1.1725350641189083,0.013883686557101267,33.15342437624774,1775857952.9984229
full_loss_2,full_loss_3,conv1.w3.bias,0.9,0.999,0.01,1e-08,1.493055262757892e-10,2.8921990136154818e-08,6.693881005048752e-10,2.004435543336932,0.0007322376477038385,392.43999335056304,1775857952.998538
full_loss_2,full_loss_3,conv1.bn0.weight,0.9,0.999,0.01,1e-08,0.0018488981295377016,0.02162558026611805,0.009165613912045956,1.8154903014357295,0.013409452483496488,26.487130621820075,1775857952.9986658
