stage_from,stage_to,layer,beta1,beta2,lr,eps,delta_median,sigma_median,gnew_median,ratio_num,ratio_den,R_lb,timestamp
full_loss_1,full_loss_2,conv1.fc0.weight,0.9,0.999,9.765625e-06,1e-08,0.00508471392095089,0.18759894371032715,0.019772417843341827,2.314457728378101,0.003334622274534362,90.47755718974197,1783154845.4696531
full_loss_1,full_loss_2,conv1.fc0.bias,0.9,0.999,9.765625e-06,1e-08,8.565687181771864e-08,4.526781140157254e-06,1.5471596270799637e-07,4.982723502751546,0.001081341289302242,154.52099741601654,1783154845.4697757
full_loss_1,full_loss_2,conv1.conv0.weights1,0.9,0.999,9.765625e-06,1e-08,2.0117209714953788e-05,0.0018201324855908751,5.4742529755458236e-05,3.3073897924701194,0.0009515664419651223,243.9754450717261,1783154845.4771104
full_loss_1,full_loss_2,conv1.conv1.weights1,0.9,0.999,9.765625e-06,1e-08,3.8640508137177676e-05,0.0016473090508952737,0.0001423219800926745,2.443505708427067,0.0027334689711253613,106.23919265535807,1783154845.4844925
full_loss_1,full_loss_2,conv1.conv2.weights1,0.9,0.999,9.765625e-06,1e-08,4.6129716793075204e-05,0.0015506260097026825,0.00017978886899072677,2.309194396511256,0.003668368804427057,82.37671994946082,1783154845.491956
full_loss_1,full_loss_2,conv1.conv3.weights1,0.9,0.999,9.765625e-06,1e-08,5.432288890006021e-05,0.0016430180985480547,0.00017449331062380224,2.801860974216569,0.003360111513266633,78.27982904739733,1783154845.4990988
full_loss_1,full_loss_2,conv1.w0.weight,0.9,0.999,9.765625e-06,1e-08,0.0011571545619517565,0.06045544520020485,0.004965290892869234,2.097438252897673,0.0025985227834696215,124.2426781763668,1783154845.4995885
full_loss_1,full_loss_2,conv1.w0.bias,0.9,0.999,9.765625e-06,1e-08,2.2384138986808466e-10,2.97272265470383e-07,5.529727786779404e-10,3.636591158180286,5.885253236447251e-05,3258.1873828587172,1783154845.4997816
full_loss_1,full_loss_2,conv1.w1.weight,0.9,0.999,9.765625e-06,1e-08,0.0020661097951233387,0.09105388075113297,0.006972254253923893,2.66699800039249,0.002422657448852051,112.56342782658884,1783154845.5001101
full_loss_1,full_loss_2,conv1.w1.bias,0.9,0.999,9.765625e-06,1e-08,2.9597643780299165e-10,3.246532571665739e-07,7.130438461899757e-10,3.7305663432861635,6.948841246685417e-05,2778.537084506639,1783154845.50028
full_loss_1,full_loss_2,conv1.w2.weight,0.9,0.999,9.765625e-06,1e-08,0.002266384894028306,0.07874740660190582,0.00856813509017229,2.380618866206973,0.003442447305189306,85.92835213877284,1783154845.5006056
full_loss_1,full_loss_2,conv1.w2.bias,0.9,0.999,9.765625e-06,1e-08,3.3533575916067093e-10,2.958285563181562e-07,7.8580342233181e-10,3.835801607854829,8.404069003772042e-05,2269.446939524984,1783154845.5007334
full_loss_1,full_loss_2,conv1.w3.weight,0.9,0.999,9.765625e-06,1e-08,0.0026125775184482336,0.08239686489105225,0.007696479558944702,3.055058807458594,0.002955280366588587,83.44573611821623,1783154845.5010192
