stage_from,stage_to,layer,beta1,beta2,lr,eps,delta_median,sigma_median,gnew_median,ratio_num,ratio_den,R_lb,timestamp
full_loss_1,full_loss_2,fc0.weight,0.9,0.999,0.01,1e-08,0.003284374950453639,0.46895429491996765,0.0858212485909462,0.34442955607216286,0.0057900400378596605,128.4636864225907,1775828733.2825418
full_loss_1,full_loss_2,fc0.bias,0.9,0.999,0.01,1e-08,3.187030233675614e-05,0.0009436291875317693,1.467391848564148e-05,19.547110184942266,0.0004919964759087182,98.92060731780933,1775828733.2826622
full_loss_1,full_loss_2,conv0.weights1,0.9,0.999,0.01,1e-08,5.657647852785885e-05,0.03962539881467819,0.0003967262164223939,1.2834753146868478,0.00031676304566972464,1382.5123408053778,1775828733.289997
full_loss_1,full_loss_2,conv1.weights1,0.9,0.999,0.01,1e-08,0.00017827308329287916,0.03133678436279297,0.0013715513050556183,1.1698124179182912,0.0013847611938154682,332.8149901008658,1775828733.2974212
full_loss_1,full_loss_2,conv2.weights1,0.9,0.999,0.01,1e-08,0.0002650993992574513,0.021724015474319458,0.0020040725357830524,1.1905230721573146,0.002918707598920543,156.40893105207311,1775828733.3052576
full_loss_1,full_loss_2,conv3.weights1,0.9,0.999,0.01,1e-08,0.00021933404786977917,0.01619676500558853,0.0014850252773612738,1.32927463228527,0.0029008336239338722,147.99820309032356,1775828733.31319
full_loss_1,full_loss_2,w0.weight,0.9,0.999,0.01,1e-08,0.0012285604607313871,0.20180760324001312,0.013140547089278698,0.8414447336642799,0.002060123130157061,263.60165157589535,1775828733.3136935
full_loss_1,full_loss_2,w0.bias,0.9,0.999,0.01,1e-08,3.408610949051649e-09,1.3593182757176692e-06,2.2351741790771484e-08,1.3724266503239575,0.0005202440863523435,805.3902535736751,1775828733.3138928
full_loss_1,full_loss_2,w1.weight,0.9,0.999,0.01,1e-08,0.0026693232357501984,0.340006560087204,0.028245659545063972,0.8505345425753926,0.0026283408174580976,205.59905852328976,1775828733.314187
full_loss_1,full_loss_2,w1.bias,0.9,0.999,0.01,1e-08,1.0772643221912404e-08,1.4545391877618385e-06,9.685754776000977e-08,1.00098330234558,0.002106808201402675,236.8214110631354,1775828733.314353
full_loss_1,full_loss_2,w2.weight,0.9,0.999,0.01,1e-08,0.00400889664888382,0.2569332420825958,0.03702859207987785,0.9743840587065339,0.004559677831623754,111.07957361220642,1775828733.3147008
full_loss_1,full_loss_2,w2.bias,0.9,0.999,0.01,1e-08,2.458364534163593e-08,1.219149567077693e-06,1.9371509552001953e-07,1.1421498429481722,0.0050271677339935,92.7885518012685,1775828733.3148654
full_loss_1,full_loss_2,w3.weight,0.9,0.999,0.01,1e-08,0.0047272564843297005,0.18737348914146423,0.04297502338886261,0.9900008191503007,0.0072564671508707065,69.25027615350142,1775828733.3151672
full_loss_1,full_loss_2,w3.bias,0.9,0.999,0.01,1e-08,6.74527953492543e-08,1.7038310033967718e-06,6.258487701416016e-07,0.970001407855331,0.01162143848156211,43.66782921498472,1775828733.3152761
full_loss_1,full_loss_2,bn0.weight,0.9,0.999,0.01,1e-08,0.00759017514064908,0.30392783880233765,0.12423183768987656,0.5498717360667238,0.012932416516438587,49.891269783214064,1775828733.3153849
full_loss_1,full_loss_2,bn0.bias,0.9,0.999,0.01,1e-08,0.005182893481105566,0.2705397605895996,0.12429742515087128,0.3752776155496078,0.014536112877437637,50.02203296840295,1775828733.31549
full_loss_1,full_loss_2,bn1.weight,0.9,0.999,0.01,1e-08,0.006911872886121273,0.28360649943351746,0.1431572288274765,0.43453520638922444,0.015970347254887565,43.64901309342955,1775828733.3155968
full_loss_1,full_loss_2,bn1.bias,0.9,0.999,0.01,1e-08,0.00820949673652649,0.24349358677864075,0.10441466420888901,0.7076158429262162,0.013567231170016984,43.1636933835127,1775828733.3157008
full_loss_1,full_loss_2,bn2.weight,0.9,0.999,0.01,1e-08,0.008564341813325882,0.17932777106761932,0.09931319952011108,0.7761211670916733,0.017521717699115116,32.132959765745994,1775828733.3158123
full_loss_1,full_loss_2,bn2.bias,0.9,0.999,0.01,1e-08,0.00881942454725504,0.21780246496200562,0.08649422973394394,0.9176892050317628,0.012564395564021865,41.50306540965732,1775828733.315917
full_loss_1,full_loss_2,bn3.weight,0.9,0.999,0.01,1e-08,0.017187602818012238,0.2779233157634735,0.11865226179361343,1.3037124031388057,0.013507292192662087,32.13686025095529,1775828733.3160226
full_loss_1,full_loss_2,bn3.bias,0.9,0.999,0.01,1e-08,0.0227338969707489,0.2874223589897156,0.24535949528217316,0.8338991425646777,0.02700844471513958,20.189472693470005,1775828733.3161259
full_loss_1,full_loss_2,fc1.weight,0.9,0.999,0.01,1e-08,0.005883264821022749,0.17680180072784424,0.04779956117272377,1.1077378555163793,0.008553709199325993,55.466264910332484,1775828733.3165712
