epoch_global,phase,epoch_in_phase,term_mean,term_median,term_p95,term_max,lr,eta_eff_mean,train_bd,train_res,test_full,cos_m_g,reset_opt
1,full_loss_1,1,0.2395944595336914,0.24471955001354218,0.3608438968658447,0.9152402281761169,0.01,0.002395944595336914,2.0021088812086316,68.54424964057074,3.3579780578613283,0.049889790059401556,False
2,full_loss_1,2,0.09557213634252548,0.09694918245077133,0.1447233408689499,0.7255963087081909,0.01,0.0009557213634252548,1.072731367746989,35.69868426852756,1.6252460479736328,0.00016881661463191065,False
3,full_loss_1,3,0.04224693402647972,0.04173898696899414,0.06513456255197525,0.6337930560112,0.01,0.0004224693402647972,1.0102084265814888,34.22663688659668,0.9444739341735839,0.37758359117914203,False
4,full_loss_1,4,0.019788488745689392,0.018189558759331703,0.03412921726703644,0.6938917636871338,0.01,0.00019788488745689392,0.9833327505323622,33.3900023566352,1.121415138244629,0.5984558752449498,False
5,full_loss_1,5,0.011088225990533829,0.008108435198664665,0.027249764651060104,0.6785655617713928,0.01,0.00011088225990533829,0.9831246058146159,32.796773486667206,0.9047903060913086,0.6908999110913634,False
6,full_loss_1,6,0.01128098089247942,0.004782719071954489,0.041320912539958954,1.0208934545516968,0.01,0.0001128098089247942,0.7355618529849582,26.466721640692818,0.722088623046875,0.43245129719231173,False
7,full_loss_1,7,0.015502582304179668,0.006173314526677132,0.05774300545454025,0.9534151554107666,0.01,0.00015502582304179668,0.5824428108003404,16.68863953484429,0.6602669715881347,0.7768269967353408,False
8,full_loss_1,8,0.014172454364597797,0.005655731074512005,0.05427199602127075,1.0366746187210083,0.01,0.00014172454364597798,0.8103151109483507,14.803821033901638,0.8194503784179688,0.7725695947874713,False
9,full_loss_1,9,0.011291577480733395,0.004776842892169952,0.042823996394872665,0.713127076625824,0.01,0.00011291577480733395,0.4959412574768066,13.04517682393392,0.7142427444458008,0.49117878125932823,False
10,full_loss_1,10,0.008338745683431625,0.0035501993261277676,0.03125418722629547,1.2607594728469849,0.005,4.169372841715813e-05,0.46993080774943036,11.343721230824789,0.6775897026062012,0.5852696057041538,False
11,full_loss_1,11,0.009333489462733269,0.003930605016648769,0.03554539754986763,0.9538963437080383,0.005,4.6667447313666345e-05,0.4343943410449558,8.620860894521078,0.5896411895751953,0.92976489041551,False
12,full_loss_1,12,0.008232268504798412,0.0035468812566250563,0.030859248712658882,0.5810542702674866,0.005,4.116134252399206e-05,0.3034916559855143,7.6527138815985785,0.6019134044647216,0.7871419296237083,False
13,full_loss_1,13,0.010548215359449387,0.0040540010668337345,0.040529802441596985,0.7394272685050964,0.005,5.2741076797246936e-05,0.28820362355973983,7.393886778089735,0.6242220401763916,0.9672433343214856,False
14,full_loss_1,14,0.008381965570151806,0.003517420496791601,0.031999558210372925,0.6076221466064453,0.005,4.190982785075903e-05,0.2893131282594469,6.916883971956041,0.5785131454467773,0.7026773126683812,False
