epoch_global,phase,epoch_in_phase,term_mean,term_median,term_p95,term_max,lr,eta_eff_mean,train_bd,train_res,test_full,cos_m_g,reset_opt
1,supervised,1,0.2506084144115448,0.24885410070419312,0.42092403769493103,1.0021309852600098,0.01,0.002506084144115448,1.4855170143975152,0.0,1.4023048400878906,0.2806988072351795,False
2,supervised,2,0.10531919449567795,0.09795143455266953,0.20162051916122437,1.0329478979110718,0.01,0.0010531919449567795,0.9808180703057183,0.0,1.1327367782592774,0.36687229953061334,False
3,supervised,3,0.07026660442352295,0.04831284284591675,0.20266059041023254,1.1206562519073486,0.01,0.0007026660442352295,0.7319793277316623,0.0,1.1429012298583985,0.582535816672869,False
4,supervised,4,0.044546328485012054,0.02803916297852993,0.1381361484527588,0.8904954791069031,0.01,0.00044546328485012054,0.49991285536024305,0.0,0.5580143928527832,0.04331847602621399,False
5,supervised,5,0.0383259579539299,0.023980215191841125,0.12069927901029587,0.7281820178031921,0.01,0.00038325957953929904,0.4013173871570163,0.0,0.368343448638916,0.8081923634798168,False
6,supervised,6,0.031127432361245155,0.019964218139648438,0.09735886007547379,0.7327191233634949,0.01,0.00031127432361245156,0.3503321356243557,0.0,0.25490214824676516,0.8209125051695723,False
7,supervised,7,0.02813543751835823,0.018419312313199043,0.08500724285840988,1.1022998094558716,0.01,0.0002813543751835823,0.2706078714794583,0.0,0.3374505043029785,0.3027236036693726,False
8,supervised,8,0.024320513010025024,0.016187138855457306,0.07152055203914642,0.6461295485496521,0.01,0.00024320513010025026,0.24232644107606677,0.0,0.27448439598083496,0.16338650890314618,False
9,supervised,9,0.02282029390335083,0.015225897543132305,0.06740756332874298,0.6910087466239929,0.01,0.0002282029390335083,0.1739686171213786,0.0,0.1993793725967407,0.17840093734282092,False
10,supervised,10,0.021569574251770973,0.01460958644747734,0.06254562735557556,0.7472774386405945,0.005,0.00010784787125885487,0.20193736420737374,0.0,0.20396690368652343,0.8513047826352534,False
11,supervised,11,0.023253707215189934,0.015699725598096848,0.06834075599908829,0.6687652468681335,0.005,0.00011626853607594967,0.15463239351908367,0.0,0.13272624015808104,-0.2575169073169195,False
12,supervised,12,0.020955868065357208,0.014386625960469246,0.06002630293369293,0.7653493881225586,0.005,0.00010477934032678605,0.14223355054855347,0.0,0.09907467365264892,0.9499066688433918,False
13,supervised,13,0.020667195320129395,0.014549162238836288,0.05814942345023155,0.4606311619281769,0.005,0.00010333597660064698,0.1434817632039388,0.0,0.2518064737319946,-0.7241188171209703,False
14,supervised,14,0.02014460228383541,0.01405640784651041,0.056320592761039734,0.6852703094482422,0.005,0.00010072301141917706,0.19813946617974176,0.0,0.12213960886001587,0.9594525565715986,False
15,supervised,15,0.02056179940700531,0.014682663604617119,0.057844433933496475,0.5480085015296936,0.005,0.00010280899703502656,0.14507995976342095,0.0,0.16547166109085082,0.9512140261889878,False
16,supervised,16,0.020676264539361,0.01459519099444151,0.058339543640613556,0.39093297719955444,0.005,0.000103381322696805,0.16479373243119982,0.0,0.15244568586349488,-0.3754873836188671,False
17,supervised,17,0.021302537992596626,0.015265942551195621,0.05847311392426491,0.46972137689590454,0.005,0.00010651268996298314,0.14944938951068454,0.0,0.10087528228759765,0.9531791034489888,False
18,supervised,18,0.022394493222236633,0.015597556717693806,0.06392258405685425,0.6717958450317383,0.005,0.00011197246611118317,0.12210499909189013,0.0,0.08642134666442872,0.9357380038923808,False
19,supervised,19,0.020824212580919266,0.015086853876709938,0.057491935789585114,0.4798859655857086,0.005,0.00010412106290459633,0.10805907845497131,0.0,0.06297850608825684,-0.26756503099937406,False
20,supervised,20,0.02448291704058647,0.016885872930288315,0.06909162551164627,0.7184892296791077,0.0025,6.120729260146618e-05,0.09431183338165283,0.0,0.18716609477996826,-0.6955278635018585,False
21,supervised,21,0.02199147827923298,0.015908747911453247,0.06111321970820427,0.6042532920837402,0.0025,5.497869569808245e-05,0.11874062021573385,0.0,0.10372134447097778,-0.47432508105084914,False
22,supervised,22,0.023801561444997787,0.016827138140797615,0.06636806577444077,0.5976887345314026,0.0025,5.950390361249447e-05,0.08514908817079332,0.0,0.09455807209014892,0.5414425065468059,False
23,supervised,23,0.023337330669164658,0.016563184559345245,0.06418724358081818,0.7275436520576477,0.0025,5.834332667291164e-05,0.09526852137512631,0.0,0.09090461134910584,-0.8378974285662804,False
24,supervised,24,0.022151358425617218,0.01607578992843628,0.06029009073972702,0.4550771117210388,0.0025,5.5378396064043044e-05,0.08339419100019667,0.0,0.06235028505325317,0.9937261585005244,False
25,supervised,25,0.019621167331933975,0.01502265129238367,0.051726046949625015,0.5645679235458374,0.0025,4.9052918329834936e-05,0.0788099533981747,0.0,0.06070291996002197,0.9345660355094788,False
26,supervised,26,0.023159176111221313,0.016702795401215553,0.06423874199390411,0.6038593053817749,0.0025,5.7897940278053286e-05,0.10540537436803182,0.0,0.09041520953178406,0.6851805560184591,False
27,supervised,27,0.02148374728858471,0.01632240228354931,0.05741925910115242,0.4897860288619995,0.0025,5.3709368221461775e-05,0.06962258915106455,0.0,0.05814348459243775,0.6757539802819622,False
28,supervised,28,0.02350100688636303,0.017551179975271225,0.0625934824347496,0.5318669676780701,0.0025,5.875251721590758e-05,0.062449934085210164,0.0,0.050999152660369876,0.9189722598583585,False
29,supervised,29,0.02435402199625969,0.018186965957283974,0.06561268866062164,0.46159058809280396,0.0025,6.0885054990649225e-05,0.06991871893405914,0.0,0.07678040266036987,0.5231390279798934,False
30,supervised,30,0.03045067936182022,0.020657643675804138,0.09000810235738754,0.7434822916984558,0.00125,3.8063349202275275e-05,0.06878895726468828,0.0,0.07876546978950501,0.8718556215558514,False
31,supervised,31,0.030739741399884224,0.021056920289993286,0.09002672135829926,0.5931859016418457,0.00125,3.842467674985528e-05,0.07143946323129866,0.0,0.05176602602005005,0.9079147218188874,False
32,supervised,32,0.021863002330064774,0.016675997525453568,0.05804569274187088,0.43584394454956055,0.00125,2.7328752912580968e-05,0.08054685725106134,0.0,0.04103491902351379,-0.6033017142223385,False
33,supervised,33,0.023504631593823433,0.01756238378584385,0.06361947953701019,0.4323103129863739,0.00125,2.938078949227929e-05,0.08029643098513285,0.0,0.04461593627929687,0.8682393110078251,False
34,supervised,34,0.025828300043940544,0.01876627653837204,0.07039204984903336,0.5254166126251221,0.00125,3.228537505492568e-05,0.06299225787321726,0.0,0.05525668263435364,0.9858539643964208,False
35,supervised,35,0.02220246009528637,0.01705852895975113,0.058034710586071014,0.3972048759460449,0.00125,2.7753075119107962e-05,0.059271132614877486,0.0,0.046037933230400084,0.9305165516823523,False
36,supervised,36,0.024577191099524498,0.01876031793653965,0.06546724587678909,0.6700460910797119,0.00125,3.0721488874405624e-05,0.06577598055203755,0.0,0.04964190721511841,-0.8364335137341935,False
37,supervised,37,0.025508485734462738,0.01897948421537876,0.06940354406833649,0.3965987265110016,0.00125,3.1885607168078426e-05,0.06564293073283302,0.0,0.05010663866996765,0.9544438292165403,False
38,supervised,38,0.027319421991705894,0.01975971832871437,0.07623421400785446,0.4852069914340973,0.00125,3.414927748963237e-05,0.050341707136895925,0.0,0.04260668456554413,0.9885463895825264,False
39,supervised,39,0.032631583511829376,0.022398605942726135,0.09740231186151505,0.6287404894828796,0.00125,4.078947938978672e-05,0.06753209167056613,0.0,0.048291414976119995,0.6267344800740634,False
