stage_from,stage_to,layer,beta1,beta2,lr,eps,delta_median,sigma_median,gnew_median,ratio_num,ratio_den,R_lb,timestamp
full_loss_1,full_loss_2,fc0.weight,0.9,0.999,0.01,1e-08,0.06313538551330566,3.0107505321502686,1.2233954668045044,0.46446017255848354,0.01285610323056943,53.1144983176368,1775855659.2321827
full_loss_1,full_loss_2,fc0.bias,0.9,0.999,0.01,1e-08,3.628063859650865e-05,0.006265481933951378,0.00019940733909606934,1.637481083751813,0.0010069407391150827,376.5359715485024,1775855659.2323074
full_loss_1,full_loss_2,conv0.weights1,0.9,0.999,0.01,1e-08,0.000493579194881022,0.19688276946544647,0.004179487470537424,1.0628606459956993,0.0006716338461306294,721.7678273097183,1775855659.2410579
full_loss_1,full_loss_2,conv1.weights1,0.9,0.999,0.01,1e-08,0.0017602883744984865,0.2222122699022293,0.01641559973359108,0.9650939122926312,0.002337254336284836,217.72620924588554,1775855659.2485502
full_loss_1,full_loss_2,conv2.weights1,0.9,0.999,0.01,1e-08,0.001995820552110672,0.1604285091161728,0.017918897792696953,1.0024268889638066,0.003533840963097987,141.3176240490494,1775855659.2564697
full_loss_1,full_loss_2,conv3.weights1,0.9,0.999,0.01,1e-08,0.0017418762436136603,0.11825428903102875,0.014875547960400581,1.0538694932920587,0.003979910694540037,122.33587264006648,1775855659.2643962
full_loss_1,full_loss_2,w0.weight,0.9,0.999,0.01,1e-08,0.009127706289291382,2.141538381576538,0.1178649440407753,0.696978709585659,0.0017413098144399243,338.4134051171168,1775855659.2648528
full_loss_1,full_loss_2,w0.bias,0.9,0.999,0.01,1e-08,6.228999893664877e-08,1.3169787962397095e-05,1.4901161193847656e-07,3.76216471301973,0.00035797982624020795,586.3287744958573,1775855659.2650807
full_loss_1,full_loss_2,w1.weight,0.9,0.999,0.01,1e-08,0.01914846897125244,3.095165967941284,0.24063794314861298,0.7161639535545922,0.002459786542268336,236.88840444920004,1775855659.2654536
full_loss_1,full_loss_2,w1.bias,0.9,0.999,0.01,1e-08,3.579793030894507e-07,1.730409530864563e-05,7.450580596923828e-07,4.3242393819561995,0.001362255121645275,137.86336012573383,1775855659.2656345
full_loss_1,full_loss_2,w2.weight,0.9,0.999,0.01,1e-08,0.029111603274941444,2.369211435317993,0.34245234727859497,0.7650828839568729,0.004573130377730177,123.88573822019391,1775855659.2660215
full_loss_1,full_loss_2,w2.bias,0.9,0.999,0.01,1e-08,4.558250736863556e-07,1.4961216947995126e-05,1.5497207641601562e-06,2.6472014254768093,0.003277206128536697,83.6588639872258,1775855659.2661922
full_loss_1,full_loss_2,w3.weight,0.9,0.999,0.01,1e-08,0.039130646735429764,2.088406562805176,0.4609244465827942,0.7640640960336736,0.006982837724279171,81.18086779654095,1775855659.2665641
full_loss_1,full_loss_2,w3.bias,0.9,0.999,0.01,1e-08,1.2997974181416794e-06,1.881096795841586e-05,7.987022399902344e-06,1.4646478641114473,0.013433556045376702,30.20279244358327,1775855659.2667298
full_loss_1,full_loss_2,bn0.weight,0.9,0.999,0.01,1e-08,0.05479563772678375,3.055814266204834,0.8914238214492798,0.5532281364645588,0.009229422711646793,69.75738847914303,1775855659.266896
full_loss_1,full_loss_2,bn0.bias,0.9,0.999,0.01,1e-08,0.05565525218844414,2.182126998901367,0.7513421773910522,0.6666699737723202,0.01089368974362366,55.07764801576149,1775855659.2670734
full_loss_1,full_loss_2,bn1.weight,0.9,0.999,0.01,1e-08,0.06569301337003708,2.379711866378784,0.9551261067390442,0.6190147208396329,0.012698534277351566,48.64022852789264,1775855659.2672014
full_loss_1,full_loss_2,bn1.bias,0.9,0.999,0.01,1e-08,0.07259785383939743,2.047046184539795,0.7348124980926514,0.889180146295367,0.01135706598790401,46.608001136490174,1775855659.267322
full_loss_1,full_loss_2,bn2.weight,0.9,0.999,0.01,1e-08,0.060493290424346924,1.8538622856140137,0.8524230122566223,0.6386965227243068,0.014547720617740715,41.94754182195581,1775855659.2674494
full_loss_1,full_loss_2,bn2.bias,0.9,0.999,0.01,1e-08,0.08733595162630081,1.509283423423767,0.6092323064804077,1.290186938995979,0.012771131562430947,34.19004619083455,1775855659.2675698
full_loss_1,full_loss_2,bn3.weight,0.9,0.999,0.01,1e-08,0.15651878714561462,2.2765467166900635,1.745689034461975,0.8069415895391013,0.02426093716137134,22.811209495295913,1775855659.2677124
full_loss_1,full_loss_2,bn3.bias,0.9,0.999,0.01,1e-08,0.16819511353969574,1.7292518615722656,2.373964786529541,0.6376488945607145,0.04343434500665847,14.058724708999359,1775855659.2678905
